SID,P_Pref,C_Pref ,Cl_Support,Tr_Support,Cand_Support,Rep_Prim,Dem_Prim,PrimElect,Tr_Dona,Tr_Volu,Cl_Dona,Cl_Volu,Cand_Dona,Cand_Volu,prev_candSupport,Tr_Difi_Dist,Tr_Difi_Over,Cl_Difi_Dist,Cl_Difi_Over,Cand_Difi_Dist,Cand_Difi_Overlap,Dem_Iden,Rep_Iden,Party_Iden,Regi,Reg_Party,Reg_Party_Plan,Dem_Dona,Dem_Volu,Rep_Dona,Rep_Volu,Party_Dona,Party_Volu,prev_partySupport,Rep_Difi_Dist,Rep_Difi_Over,Dem_Difi_Dist,Dem_Difi_Over,Party_Difi_Dist,Party_Difi_Over,DG_Test1,DG_Test2,DG_Test3,DG_Choice,Expl,Tr_Happy,Cl_Happy,EarlyVote,candVote_Choice,ClintonSupporter_Happy,TrumpSupporter_Happy,OtherSupporter_Happy,Gender,Age,Education,Income,USCit,Surveys,SimSurv,Scept,Wave,DG_In
776,Democrat,Clinton,6,,6,,Sanders,No,,,No,No,No,No,0,,,18,10,18,10,5,,5,No,,Yes-Other,No,No,,,No,No,0,,,2,0,2,0,40,0,20,5,I am trying to maximize my bonus without being too needy.,1,6,No,,,,,Male,67,<Coll,"$25,001-$35,000",Yes,103,3,3,3,yes
777,Democrat,Clinton,3,,3,,Sanders,Yes,,,No,No,No,No,0,,,9,3,9,3,5,,5,Yes,Dem,,No,No,,,No,No,0,,,36,27,36,27,40,0,20,10,BEcause I want them to have a bonus but I need the money too. Sorry. ,1,3,No,,,,,Female,31,Coll,"$25,001-$35,000",Yes,5200,3,1,3,yes
778,Democrat,Clinton,3,,3,,Sanders,Yes,,,No,No,No,No,0,,,56,50,56,50,3,,3,Yes,Other,,No,No,,,No,No,0,,,56,50,56,50,40,0,20,20,"The Democrats are about giving everyone an equal chance, so it's best to split the amount",2,4,Yes,,,,,Male,25,Coll,"$35,001-$50,000",Yes,250,3,3,3,yes
779,Republican,Clinton,3,,3,Other,,Yes,,,No,No,No,No,0,,,20,11,20,11,,5,5,Yes,Rep,,,,No,Yes,No,Yes,1,69,67,,,69,67,40,0,20,0,The bonus is such an inconsequential amount of money so I rather just keep it.,2,4,No,,,,,Male,24,Coll,"$80,001-$100,000",Yes,95,2,5,3,yes
780,Republican,Trump,,3,3,Other,,No,No,No,,,No,No,0,-72,0,,,-72,0,,2,2,Yes,Other,,,,No,No,No,No,0,-100,0,,,-100,0,40,40,20,10,"No particular reason, just felt it would be nice to give the other person a bit of the bonus in case they don't get anything.  ",4,1,No,,,,,Male,28,Grad,"<$5,000",Yes,600,2,1,3,no
781,Democrat,Clinton,6,,6,,Sanders,Yes,,,No,No,No,No,0,,,24,15,24,15,6,,6,Yes,Dem,,No,Yes,,,No,Yes,1,,,35,25,35,25,40,0,20,20,It's fair.,1,6,No,,,,,Male,54,Grad,"$65,001-$80,000",Yes,6770,3,1,3,yes
782,Democrat,Clinton,6,,6,,Sanders,No,,,No,No,No,No,0,,,44,35,44,35,6,,6,Yes,Dem,,No,No,,,No,No,0,,,63,59,63,59,40,0,20,20,Do be as fair as possible.,1,6,No,,,,,Male,44,<Coll,"$25,001-$35,000",Yes,1500,4,5,3,yes
783,Republican,Trump,,4,4,Other,,No,No,No,,,No,No,0,8,3,,,8,3,,2,2,Yes,Rep,,,,No,No,No,No,0,28,18,,,28,18,40,0,20,20,I wanted to be fair and equal.,5,1,No,,,,,Female,46,<Coll,"$35,001-$50,000",Yes,3000,3,5,3,yes
784,Democrat,Clinton,3,,3,,Sanders,Yes,,,No,No,No,No,0,,,29,19,29,19,5,,5,Yes,Dem,,Yes,No,,,Yes,No,1,,,43,34,43,34,40,0,20,20,"The bonus was unexpected, and not based on my own merit. So, I decide to share equally.",1,4,No,,,,,Female,42,Grad,"<$5,000",Yes,2400,3,5,3,yes
785,Democrat,Clinton,6,,6,,Sanders,Yes,,,No,No,No,No,0,,,52,45,52,45,6,,6,Yes,Dem,,Yes,No,,,Yes,No,1,,,79,79,79,79,40,0,20,20,"I wanted to make sure the other person received a bonus too, and I thought it would be fair for us to receive the same amount.",1,6,No,,,,,Female,29,Grad,"$80,001-$100,000",Yes,6300,3,4,3,yes
786,Democrat,Clinton,7,,7,,Clinton,Yes,,,Yes,Yes,Yes,Yes,2,,,125,100,125,100,7,,7,Yes,Dem,,Yes,Yes,,,Yes,Yes,2,,,125,100,125,100,40,0,20,20,I considered fairness,1,7,No,,,,,Female,27,Coll,">$100,000",Yes,1000,2,5,3,yes
787,Democrat,Clinton,2,,2,,Sanders,No,,,No,No,No,No,0,,,7,2,7,2,1,,1,Yes,Other,,No,No,,,No,No,0,,,21,12,21,12,40,0,20,20,It is fair,1,1,No,,,,,Female,25,Coll,"$5,000-$10,000",Yes,18000,5,1,3,yes
788,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,50,42,50,42,5,,5,Yes,Other,,No,No,,,No,No,0,,,50,42,50,42,40,0,20,0,I chose the option that would maximize my own bonus.,1,3,No,,,,,Male,47,<Coll,"$5,000-$10,000",Yes,500,3,3,3,yes
789,Democrat,Clinton,6,,6,,Clinton,Yes,,,No,No,No,No,0,,,60,55,60,55,6,,6,Yes,Dem,,No,Yes,,,No,Yes,1,,,59,54,59,54,30,20,20,25,I tried to provide an amount that will benefit the other person and also me.,2,5,Yes,,,,,Male,22,<Coll,"<$5,000",Yes,400,2,4,3,no
790,Democrat,Trump,,3,3,,Sanders,Yes,No,No,,,No,No,0,20,11,,,20,11,2,,2,Yes,Other,,No,No,,,No,No,0,,,40,31,40,31,40,0,20,0,need cash,3,2,No,,,,,Male,29,Coll,"$35,001-$50,000",Yes,600,2,4,3,yes
791,Democrat,Clinton,6,,6,,Clinton,Yes,,,No,No,No,No,0,,,-49,0,-49,0,6,,6,Yes,Dem,,No,Yes,,,No,Yes,1,,,-49,0,-49,0,40,40,20,20,I chose to be equal the way the world should be today.,1,6,Yes,,,,,Female,29,<Coll,"$5,000-$10,000",Yes,over 1000,2,3,3,no
792,Republican,Trump,,7,7,Other,,No,No,No,,,No,No,0,54,48,,,54,48,,7,7,Yes,Rep,,,,Yes,Yes,Yes,Yes,2,84,85,,,84,85,40,0,20,20,I wanted to be fair to both of us.,7,1,No,,,,,Male,37,Grad,"$35,001-$50,000",Yes,50,2,3,3,yes
793,Republican,Trump,,6,6,Other,,Yes,No,No,,,No,No,0,101,100,,,101,100,,7,7,Yes,Rep,,,,No,No,No,No,0,100,100,,,100,100,40,20,20,20,"I made this choice in order for me to get a 20 cent bonus, also.",7,1,No,,,,,Female,65,<Coll,"$35,001-$50,000",Yes,1007,3,3,3,no
794,Republican,Trump,,7,7,Trump,,Yes,No,No,,,No,No,0,80,80,,,80,80,,7,7,Yes,Rep,,,,No,No,No,No,0,68,65,,,68,65,40,0,20,20,there is no multiplier or any reason to change just splitting the bonus witha  fellow trump supporter.,7,1,No,,,,,Male,50,Coll,"$15,001-$25,000",Yes,16467,3,5,3,yes
795,Democrat,Clinton,7,,7,,Sanders,Yes,,,No,No,No,No,0,,,48,40,48,40,4,,4,Yes,Dem,,No,No,,,No,No,0,,,34,24,34,24,40,0,20,0,"I do not know the other person, so I am hesitant about giving them money.",1,7,Yes,,,,,Other,32,HS,"$15,001-$25,000",Yes,3,1,5,3,yes
796,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,55,49,55,49,6,,6,Yes,Other,,No,No,,,No,No,0,,,77,76,77,76,40,0,20,0,I want to keep as much of the bonus as possible.,1,7,No,,,,,Female,25,<Coll,"$10,001-$15,000",Yes,468,3,1,3,yes
797,Republican,Trump,,1,1,Other,,Yes,No,No,,,No,No,0,-35,0,,,-35,0,,3,3,Yes,Other,,,,No,No,No,No,0,-34,0,,,-34,0,20,20,20,0,I like politics.,1,1,No,,,,,Male,37,Coll,"$65,001-$80,000",Yes,1000,3,3,3,no
798,Democrat,Clinton,6,,6,,Sanders,No,,,No,No,No,No,0,,,52,45,52,45,5,,5,Yes,Dem,,No,Yes,,,No,Yes,1,,,65,61,65,61,40,40,20,20,It seemed like the fair thing to do.  We're both involved in the study so we should receive the same. ,1,6,Yes,,,,,Female,49,<Coll,"$50,001-$65,000",Yes,25,1,5,3,no
